RR,water_feed(kmol/hr),methanol_feed(kmol/hr),glycerol_feed(kmol/hr),temperature(degC),pressure(Pa),utility_cost(USD/hr),total_purchase_cost(USD)
1.9,10,85,85,62,168325,125.43845950542634,171266.75751771434
5.9,15,135,135,68,135325,279.08854680073455,236203.35683156934
1.6,13,115,115,72,184325,164.1344814178769,180830.51744562585
6.8,14,125,125,80,112325,264.1927349022145,242987.15181917834
4.2,15,130,130,52,118325,230.6981731060393,217305.69803630025
1.5,5,40,40,66,166325,55.84155825356264,171062.83889352443
5.7,9,80,80,66,140325,164.482930591879,198337.68570245503
1.1,3,30,30,52,121325,38.70539221674434,159837.5565125264
6.8,17,145,145,78,171325,338.15153472206987,263058.23882165866
4.5,14,120,120,66,189325,237.03606047873092,214245.77751980358
2.8,15,135,135,72,125325,207.24895112819357,198341.44886495706
3.8,7,60,60,58,158325,107.85757936988449,165737.5931849083
1.3,5,40,40,54,131325,53.31754218874107,173805.7969510896
4.4,17,145,145,56,175325,281.76299141311955,226492.07873710096
5.1,4,35,35,58,161325,70.93671814465823,160047.51277883706
1.1,10,85,85,80,130325,106.91834839891585,195701.51936781875
6.9,6,55,55,44,194325,183.3604315730044,175582.41607035795
4.9,5,40,40,44,151325,80.18582909998518,162577.7589602849
2.3,16,140,140,84,161325,210.08060787325064,195957.95779913047
6.7,7,65,65,82,106325,133.737944753422,189414.64771782493
5.8,6,50,50,62,137325,104.29517961576583,167843.61979273276
2.4,11,95,95,58,147325,145.8563750165633,176261.2431454827
1.3,15,135,135,66,184325,186.6725725567965,191362.01356620085
3.7,5,40,40,68,180325,72.68410886743249,158645.7636442649
3.4,7,60,60,60,179325,105.87266792244918,163844.20577739447
4.5,10,90,90,56,178325,176.22514821025263,192415.18577038025
5.3,15,135,135,44,165325,281.364120622041,232356.51880927573
3.6,3,30,30,84,131325,49.307834019315074,155557.4442228585
3.0,5,45,45,46,190325,106.4862612907527,162189.17336075573
1.8,5,45,45,86,165325,63.68733535985815,164201.35709616865
1.6,4,35,35,40,184325,51.63619652164774,165027.0090168776
1.8,5,40,40,44,109325,55.765098552163096,166387.81006067747
4.3,7,65,65,82,145325,117.32576967677971,171239.60446452984
3.1,16,140,140,52,145325,232.04804335397685,204566.58337620448
4.6,11,100,100,60,103325,177.00846679053222,200613.88971269407
2.3,11,100,100,82,121325,143.16890268630686,178809.90114580694
3.0,6,50,50,56,187325,85.68496558931389,164436.62318868085
6.9,15,130,130,48,164325,307.43838991115945,250919.71041747773
6.0,15,135,135,42,160325,296.1669527920962,242145.49991778706
1.8,4,35,35,58,160325,50.82889774921494,162663.8832665081
3.1,5,40,40,82,163325,66.20248093178996,161771.62633269638
4.1,15,135,135,70,196325,351.6678187211697,206024.89641145058
3.7,5,45,45,76,140325,76.86314923776739,159491.7078135201
3.0,14,125,125,58,185325,212.71763525690548,201224.3184318092
2.2,9,75,75,72,195325,116.45810531709526,171661.41590270412
6.5,11,95,95,48,172325,220.29393189616962,217948.81138006726
2.1,17,145,145,42,178325,225.4813624337408,199735.28855809045
2.7,14,120,120,82,177325,192.16492966396777,193021.76595814535
1.6,7,60,60,62,121325,81.2372285121639,166533.32152247842
4.1,14,120,120,58,143325,217.87368709263214,206469.51298054156
1.8,14,125,125,86,190325,248.45550955540213,180875.5194395783
5.0,12,105,105,40,108325,197.69273700407416,208370.4445294085
1.7,8,70,70,50,190325,104.04296184885726,173034.12623031525
2.9,9,80,80,84,184325,131.44826988665312,175017.2781943364
5.7,9,75,75,50,188325,166.66482775667072,193611.0431942954
5.0,14,120,120,72,104325,219.54388828570399,220626.38051605673
2.7,16,140,140,42,165325,229.58342678786204,202277.1791031274
5.0,10,85,85,46,175325,175.5624351562372,193389.7040533571
1.2,5,45,45,42,132325,60.1038908076639,181555.73325874063
3.3,14,120,120,48,194325,214.74596924735428,203347.60129037956
2.2,5,45,45,82,156325,66.47499133404817,160610.1413848254
2.4,6,55,55,72,113325,79.53081721897861,164357.81628018248
5.5,15,135,135,42,156325,283.16874603191116,234478.05453354097
6.1,9,80,80,56,173325,178.544247097131,200586.88377174496
1.9,11,95,95,76,171325,138.5050961955978,174732.42513445028
2.5,3,30,30,74,129325,44.52243441747485,160128.52712807263
1.6,9,80,80,84,163325,110.48199588712235,172858.97688228046
3.9,6,50,50,68,183325,92.7279873938281,162281.6434988049
5.5,6,55,55,44,192325,164.12089316856958,167592.73084216248
4.1,16,140,140,68,183325,263.7855804063086,220370.475970205
2.0,14,120,120,42,118325,173.05034755545395,184648.66675270174
3.2,10,90,90,42,193325,218.70325379827204,177647.05883142437
2.0,7,60,60,86,173325,87.77565372794946,167217.95774862074
4.8,15,130,130,84,162325,252.34410295904317,222887.47134594317
4.5,11,95,95,54,194325,260.30939777150985,189588.42199613294
6.8,5,45,45,52,122325,98.46207819866312,168774.31681755223
3.8,16,140,140,52,129325,243.27359679137416,216144.97787588957
5.2,10,85,85,66,137325,167.8660871979989,197974.38095117582
2.6,13,115,115,80,101325,165.63944424170018,189585.2596421771
6.8,11,100,100,76,148325,224.3826436904259,220082.43293717125
1.3,5,45,45,66,182325,62.11895631230377,175203.16632408774
3.7,11,100,100,72,142325,171.71269181920383,188791.56678935944
6.3,17,145,145,64,156325,321.84219530615803,256632.86496747797
5.0,6,50,50,44,162325,102.0682148922642,166907.5322661161
6.4,7,65,65,40,165325,147.52952819048545,188479.04551926712
1.4,9,75,75,64,187325,105.4825209954227,173880.18058984028
1.8,5,40,40,64,185325,59.129980454554286,167917.11411267114
3.3,5,40,40,62,117325,65.00385625359606,159119.05053838316
6.3,5,40,40,50,140325,88.29825297199534,163134.81080757393
3.3,9,80,80,56,149325,135.33326445426388,171205.15422805471
1.4,6,50,50,70,127325,65.94463477042949,173109.77752630028
4.9,15,135,135,84,154325,260.7149852051373,227121.07558014008
2.8,5,40,40,84,177325,64.8393764539068,161287.31007444047
1.1,14,120,120,74,129325,151.94387036941427,203415.9650336676
2.4,6,55,55,52,156325,85.56365333430466,162888.68856804105
3.3,15,135,135,44,103325,216.13538022395957,210133.06579055957
2.0,9,75,75,52,168325,113.18295083290457,169258.2064568124
4.7,5,45,45,42,102325,81.38308083821107,162072.82514280922
2.9,13,115,115,76,181325,189.8609202710587,193812.14990119392
3.5,14,120,120,54,178325,214.73662039157261,198676.23417422944
4.7,5,45,45,70,144325,85.1634461930503,162326.73040409185
2.0,13,110,110,62,140325,159.61375108926032,183514.21048329992
3.0,12,105,105,66,125325,165.7935815167241,185461.696891184
1.1,9,75,75,44,184325,103.35941549533635,193453.43617193785
6.0,14,125,125,44,188325,387.82541933633513,223355.22705954913
2.1,5,45,45,72,120325,63.64988209376884,161723.08651099418
3.4,7,60,60,46,186325,107.82437777086791,168993.20802746844
5.0,16,140,140,50,122325,267.946447472862,235258.84088591137
3.5,4,35,35,52,174325,62.38801978608075,156952.00490235447
5.7,10,85,85,44,167325,184.71986758745712,200729.58140214675
1.1,11,100,100,42,141325,133.1654403695052,195520.6756898652
4.6,16,140,140,52,145325,267.3261238460049,225360.04313348018
5.8,10,85,85,44,115325,172.7978611690288,199213.54610760778
2.4,10,90,90,60,149325,137.99186551701447,174420.44933506736
4.9,17,145,145,60,169325,291.951443167811,233729.80640784354
1.9,9,80,80,72,108325,108.90770443544935,169248.93510638818
5.0,6,55,55,84,191325,152.94611825264926,165501.54467352506
3.7,10,90,90,76,136325,152.90050388872194,184287.52897359416
3.5,8,70,70,54,158325,122.40875314168188,168434.41404584268
4.4,9,75,75,58,151325,141.78820693997125,179426.5816050341
1.5,14,125,125,68,166325,174.09979889125734,182147.0659546857
4.9,16,140,140,78,115325,257.14652478935426,228289.30921725844
4.6,13,110,110,46,113325,201.95425802240914,211323.44541882447
6.0,4,35,35,86,150325,73.91357096908804,163535.51014807136
1.2,4,35,35,44,198325,67.88540474167839,149085.8066989198
2.0,11,95,95,84,117325,130.74347801902067,173363.39052212815
1.6,8,70,70,82,117325,92.09474249866032,167916.77158408883
6.7,11,100,100,58,168325,231.33248921577191,224449.28380021753
1.9,5,45,45,42,107325,63.15972239710635,162819.51327348675
2.4,9,75,75,78,148325,113.14754759676137,169158.41757039682
6.7,17,145,145,78,139325,321.12243827618,255123.7549955
6.3,9,80,80,60,162325,178.45894564572376,202332.73181610793
4.5,9,75,75,76,128325,136.71869317569804,183735.4743397565
4.8,15,135,135,74,186325,270.4211808569624,229483.767747878
4.1,14,125,125,54,196325,329.7886124007351,202413.74033017675
3.1,13,110,110,80,138325,176.55051146849627,189324.15070604158
5.1,17,145,145,52,134325,285.4403426796171,239357.5060255207
6.9,11,100,100,70,188325,326.7676399092965,217433.872059969
4.1,5,45,45,66,192325,117.11669320525402,159612.12616755476
5.0,12,105,105,74,119325,196.43929121394603,205587.80693188196
1.6,16,140,140,86,175325,195.10829567970575,193247.34143356656
2.7,6,50,50,58,183325,82.46303158898792,163347.33197416784
5.2,3,30,30,66,105325,54.99387959658465,157631.54607030647
5.1,11,95,95,46,150325,191.70365038848004,201414.9494847586
